Nama Usaha;Alamat;Kdkec;Kddesa
SD NEG 16 PARMONANGAN;PARMONANGAN;Pangururan;Parmonangan
WARUNG KOPI <TOMU LASMA>;SIBAGANDING;Nainggolan;Sibonor Ompu Ratus
ASRAMA SANTA MARIA PALIPI;SOSOR NAING GOLAN;Palipi;Palipi
SD N II SIMBOLON;SIMBOLON;Palipi;Simbolon Purba
AGEN PRUDENTIAL <LAMTIUR>;JALAN SIMANINDO DUSUN 3;Pangururan;Parsaoran I
INDUSTRI BAHAN PDP;KOMPLEK GEREJA BHETEL;Pangururan;Pintusona
SOPO TOBA HOTEL;UNJUR AMBARITA, DESA AMBARITA;Simanindo;Unjur
TOLEDO INN;Jl. RING ROAD;Simanindo;Tuk-Tuk Siadong
SILINTONG HOTEL;Jl. RING ROAD;Simanindo;Tuk-Tuk Siadong
MARTUA RONA ULI, PT;Jl. Pasar Nainggolan;Nainggolan;Siruma Hombar
GORGA DUMA SARI, PT;Dusun Hariarapintu, Desa Partungkunaginjang, Harian;Harian;Hariara Pintu
PUSUK BUHIT LESTARI, PT;JL.SIMANINDO KILOMETER 4;Pangururan;Sitolu Huta
LELUHUR PERSADA MARGA, PT;Jl. Raya Rianiate Desa Hutanamora;Pangururan;Huta Namora
PT BPR BUMIASIH NBP 9;JL DI PANJAITAN NO 72B;Pangururan;Pardomuan I
SDN 32 HUTATINGGI;HUTATINGGI;Pangururan;Huta Tinggi
SDN 173693 HARIAN;Harian;Harian;Turpuk Limbong
SD NEGERI 37 PARDOMUAN NAULI;Lbn. Naganjang;Pangururan;Pardomuan Nauli
SDN 178225 JUNJUNGAN;Junjungan;Onan Runggu;Sipira
SD NEGERI 17 SAORNAULI HATOGUAN;Hatoguan;Palipi;Saornauli Hatoguan
SDN 175837 TOLPING;Tolping;Simanindo;Tuk-Tuk Siadong
SDN 173755 PARMONANGAN;Parmonangan;Pangururan;Parmonangan
SDN 176383 SAITNIHUTA;Saitnihuta;Pangururan;Sait Ni Huta
SD NEGERI 16 PASARAN I;PASARAN 1;Nainggolan;Pasaran I
SD NEGERI 7 GAROGA;Garoga;Simanindo;Garoga
SD NEGERI 19 PANANGGANGAN;Aek Nahombar;Nainggolan;Pananggangan I
SD NEGERI 3 PAKPAHAN;PAKPAHAN;Onan Runggu;Pakpahan
SDN 175825 GINOLAT;Ginolat;Sianjur Mulamula;Ginolat
SDN 173694 HUTA RIHIT;Huta Rihit;Nainggolan;Huta Rihit
SDN 177083 PARSAORAN I;Parsaoran I;Pangururan;Parsaoran I
SDN 174599 TAMBA;Tamba;Sitio-tio;Tamba Dolok
SDN 173736 SIMBOLON;Simbolon;Palipi;Simbolon Purba
SDN 173762 AEK NAULI;Aek Nauli;Pangururan;Aek Nauli
SD NEGERI 18 SITAMIANG;Sitamiang;Onan Runggu;Sitamiang
SD NEGERI 22 SIGAOL MARBUN;Simbolon;Palipi;Sigaol Marbun
SDN 175834 HAS LONTUNG;Lontung;Simanindo;Tomok Parsaoran
SDN 173754 RIANIATE;Rianiate;Pangururan;Rianiate
SD NEGERI 6 HARIARAPOHAN;Sihotang;Harian;Hariara Pohan
SD NEGERI 26 HATOGUAN;Hatoguan;Palipi;Hatoguan
SDN 174596 SUNGKEAN;Sungkean;Onan Runggu;Tambun Sungkean
SDN 12 PINTUSONA;JLN. HADRIANUS SINAGA KEL PINTUSONA KEC PANGURURAN KAB SAMOSIR SUMATERA UTARA;Pangururan;Pintusona
SD Negeri 20 Hasinggaan;Binangara;Sianjur Mulamula;Hasinggahan
SD Negeri Kecil Sitatar;Sitatar;Palipi;Pardomuan Nauli
PT Adira Dinamika Multi Finance Tbk, Kantor Representative Office Sumatera;Jl Farel Lumban Tobing;Pangururan;Pardomuan I
SD NEGERI 16 URAT TIMUR;DESA URAT TIMUR;Palipi;Urat Timur
SD NEGERI 8 TUKTUK SIADONG;Sibolopian;Simanindo;Tuk-Tuk Siadong
SDN 173814 TANJUNGAN;Tanjungan;Simanindo;Tanjungan
SDN 13 PARMONANGAN;JL RAYA LONTUNG, DESA PARMONANGAN;Simanindo;Parmonangan
SD NEGERI 5 PARTUNGKONAGINJANG;Baneara;Harian;Partungko Naginjang
SD NEGERI 20 TOGUAN GALUNG;Sipangko;Nainggolan;Toguan Galung
SD NEGERI 14 PANGALOAN;PANGALOAN;Nainggolan;Pangaloan
SD NEGERI 13 PALLOMBUAN;Palipi;Palipi;Pallombuan
SMPN 2 PALIPI;Sitiotio;Sitio-tio;Cinta Maju
SMPN 3 PALIPI;Sitiotio;Sitio-tio;Sabulan
SMP Negeri 1 Simanindo;Simanindo;Harian;Turpuk Sihotang
SMPN 2 PANGURURAN;Desa parsaoran 1;Pangururan;Parsaoran I
SD NEGERI 12 RONGGURNIHUTA;Nadeak Bariba;Ronggur Nihuta;Ronggur Ni Huta
SDN 177683 SIBOSA;Sibosa;Sitio-tio;Tamba Dolok
SD NEGERI 20 LUMBAN SUHISUHI DOLOK;Harapohan Dusun 1;Pangururan;Lumban Suhi Suhi Dolok
SD NEGERI 2 TURPUK SIHOTANG;HARIAN BOHO;Harian;Turpuk Sihotang
SD NEGERI 3 SOSOR DOLOK;Sosor Dolok;Harian;Sosor Dolok
KAPAL KAYU PENUMPANG <ROMAULI>;SIMANINDO;Simanindo;Ambarita
SUPER STAR, CV;TERUSAN TANO PONGGOL DUSUN 3;Pangururan;Parsaoran I
SUPIR ANGKUTAN <JUNI>;TOLPING;Simanindo;Martoba
ANGKUTAN DANAU <POLTAK SAGALA>;KOMPLEK SDN 6 SIMARMATA;Simanindo;Tomok Parsaoran
LINDAS GUEST HOUSE;JL LINGKAR TUKTUK;Simanindo;Tuk-Tuk Siadong
TUMBA DISKOTIK;JALAN PENDIDIKAN TUK TUK;Simanindo;Ambarita
JUAL LPG <SANTO>;JALAN LINGKAR TUKTUK;Simanindo;Simanindo
ANKY PONSEL;J L RONGGUR NIHUTA;Pangururan;Pardomuan I
RODEARNI, CV;PARDOMUAN I;Pangururan;Pardomuan I
UD.KARINA;SALAN RONGGUR NIHUTA;Pangururan;Pardomuan I
KELONTONG (HELEN);DESA GINOLAT;Sianjur Mulamula;Ginolat
GOKHON GUEST HOUSE;JALAN LINGKAR TUKTUK SIADONG;Simanindo;Tuk-Tuk Siadong
KM FELIX;JALAN LING KAR TUKTUK;Simanindo;Tuk-Tuk Siadong
USAHA JET SKY <DONAL>;JALAN LINGKAR TUK TUK;Simanindo;Tuk-Tuk Siadong
PENJUAL SAYURAN <JAIT>;PASAR TRADISIONAL AMBARITA;Simanindo;Tuk-Tuk Siadong
SANGGAM BEACH HOTEL;DESA UNJUR;Simanindo;Unjur
SUMBER PULO MAS HOTEL;JL LINGKAR TUKTUK;Simanindo;Tuk-Tuk Siadong
RIZAL GLEN MOSES, CV;JL RAYA AMBARITA;Simanindo;Tuk-Tuk Siadong
ELI SABET, UD <JALAKMAN SIPAKKAR>;LUMBAN PASIR;Simanindo;Tomok
POSKESDES JANJI MATOGU;JANJI MATOGU;Sianjur Mulamula;Huta Gurgur
SUPIR ANGKOT <JONSAIDEN>;DESA SIMARMATA;Simanindo;Martoba
MIDUK UD;SIJURJUR DESA PASARAN PARSAORAN;Nainggolan;Pasaran Parsaoran
SUPIR ANGKUTAN DESA <RUBIANTO>;TOLPING;Simanindo;Tuk-Tuk Siadong
PUSTU PARDOMUAN;SIBUTAR;Onan Runggu;Pardomuan
SUMBER SARI CV;JL KEJAKSAAN;Pangururan;Pasar Pangururan
JUAL PUPUK <ARDON >;DES A SIMANINDO;Simanindo;Simanindo
CV MISLA KONSTRUKSI;JLN FL TOBING;Pangururan;Pardomuan I
TENUN ULOS (RENI);DUSUN 3 LUMBAN SIMARMATA;Pangururan;Parbaba Dolok
BENGKEL LAS CV ASIDO;JL FL TOBING;Pangururan;Pardomuan I
KAPAL PENUMPANG <FRANS>;KOMPLEK LOPO;Simanindo;Tomok
TOBA BEACH HOTEL;JL. PANGAMBATAN TOMOK;Simanindo;Tomok
TOKO BRR;JLFL TOBING;Pangururan;Pardomuan I
pangkalan GAS ELPIJI sibatuara;SIBATUARA;Palipi;Urat Timur
SMP SWASTA KATHOLIK bintang samosir;PALIPI;Palipi;Palipi
CV PUTRA LOBUTUA;SIMBOLON DUSU 2;Palipi;Simbolon Purba
SD NEGERI 9 CINTA MAJU;TAMRA NAGODANG;Sitio-tio;Cinta Maju
CU SAROHA SIARSAM;SIARSAM DESA HARIAN;Onan Runggu;Harian
KINGS GUEST HOUSE;TOLPING;Simanindo;Martoba
SD NEGERI 2 MARTOBA;TOLPING;Simanindo;Martoba
AEK SIPITUDAI;LUMBAN NAEK;Sianjur Mulamula;Aek Sipitudai
TOKO POLO;JL USKUP AGUNG SUGIO PRANOTO;Pangururan;Pardomuan I
POLINDES <DESI>;JL SITOBU;Simanindo;Martoba
SD SANTO MIKHAEL;JL USKUP AGUNG SUGIO PRANOTO;Pangururan;Pardomuan I
NARIK BECAK (BERTON);DUSUN 1 HUTA GODANG;Pangururan;Sialanguan
POSKESDES AEKLAND;LUMBAN PINGGOL;Pangururan;Lumban Pinggol
TOKO OBAT PARSAORAN;LUMBAN GAOL DUSUN 2;Palipi;Parsaoran Urat
SMP SW BHAKTI MULIA ONAN RUNGGU;ONAN RUNG G U;Onan Runggu;Onanrunggu
RAYA JAYA TANI, CV;PASAR NAINGGOLAN;Nainggolan;Nainggolan
SD NEGERI 2 NAINGGOLAN;DESA NAINGGOLAN;Nainggolan;Nainggolan
CV BOY MAS <GORGA>;JL FL TOBING;Pangururan;Pasar Pangururan
ATK (UD RISARDO);PASAR NAINGGOLAN;Nainggolan;Nainggolan
SHORUM MOTOR (GLOBAL/COY);PASAR PANGURURAN;Pangururan;Pasar Pangururan
BANK MANDIRI PERSERO, PT;JALAN DIPONEGORO;Pangururan;Pardomuan I
PONDOK NET (ANDREY);JL SISINGAMANGARAJA;Pangururan;Pasar Pangururan
PUSTU JLN BESAR TOMOK;TOMOK;Simanindo;Tomok
SUMATERA BOROBUDUR <AYU>;TOLPING MARTOBA;Simanindo;Simarmata
PUSTU SIMANINDO <ASINA>;BOLO BOLONI;Simanindo;Tuk-Tuk Siadong
PUSTU SIOGUNGOGUNG;JALAN AEK RANGAT;Pangururan;Siogung - Ogung
UD FAJAR REKLAME <MARTOGI>;JLN SIMANINDO <SAITNI HUTA>;Pangururan;Sait Ni Huta
PEDAGANG OBAT (SINAGA);LOS PASAR ONAN RUNGGU;Onan Runggu;Onanrunggu
RUMAH MAKAN FAMILY (RM FAMILY);JALAN PELABUHAN NAINGGOLAN;Nainggolan;Siruma Hombar
RM SIALAPIT <WALTER>;SIALAPIT;Simanindo;Dosroha
WARNET DIDIDA;JL KEJAKSAAN;Pangururan;Pasar Pangururan
KILANG PADI (AMAN);SAIT NIHUTA;Pangururan;Sait Ni Huta
TAHI SUMURUNG CV;JALAN TANAH LAPANG;Pangururan;Pasar Pangururan
SMAK ST THOMAS;TARABUNGA;Palipi;Simbolon Purba
SD  ADVENSIGAOL SIMBOLON;JL. LINTAS SAMOSIR DUSUN 2;Palipi;Sigaol Simbolon
JUAL MINYAK ECERAN <JOSUA>;LUMBAN GAOL DUSUN 2;Palipi;Parsaoran Urat
TOKO BOLA LAMPU HIAS (LAMSIHAR);JL SISINGAMANGARAJA;Pangururan;Pasar Pangururan
SAZAS RESTAURANT;JL LINGKAR TUKTUK;Simanindo;Dosroha
PAUD PELITA KASIH;DES A PARMON GAN;Simanindo;Tomok Parsaoran
LINSA (RUDI), CV;JL DR HADRIANUS SINAGA;Pangururan;Pintusona
TOKO OBAT <ROTUA>;JL RAYA AMBARITA;Simanindo;Martoba
HORAS RESTAURANT;JL LINGKAR TUKTUK;Simanindo;Tuk-Tuk Siadong
PGOS WATER SPORT;JLN LINGAKAR TUKTUK;Simanindo;Ambarita
USAHA BANANA BOAT <JOSEN>;JALAN LINGKAR TUK TUK;Simanindo;Tuk-Tuk Siadong
USAHA FOTOCOPY <POLTAK>;KOMPLEK SMPN 1 AMBARITA;Simanindo;Tuk-Tuk Siadong
NARIK BECAK <IWAN>;LUMBAN BOLAK DUSUN 2;Pangururan;Situngkir
NARIK BECAK <POLMA>;SITUNGKIR 1 DUSUN 1;Pangururan;Situngkir
MORA DOLOK, CV;JALAN AEK RANGAT SOSOR;Pangururan;Siogung - Ogung
SRM (SUAURMA LAURA), CV;HUTAGALUNG DUSUN 2;Harian;Hutagalung
KM LAMHOTMA <ASDIN>;BOLO BOLONI;Simanindo;Tomok
ALYSSA RESTAURANT;JALAN LINGKAR TUK TUK;Simanindo;Cinta Dame
PRAKTEK BIDAN MANDIRI (MERLY);DESA SAIT NIHUTA;Pangururan;Sait Ni Huta
PERSEWAAN JET SKY <RIWAN>;JALAN LINGKAR TUK TUK;Simanindo;Tuk-Tuk Siadong
KM ROMLAN;JL LINGKAR TUKTUK;Simanindo;Tuk-Tuk Siadong
UD MAHARIA <JOSMAR>;LUMBAN RIHIT;Pangururan;Rianiate
CV SAROHA JAYA (ATK);JL NAHUM SITUMORANG;Pangururan;Pardomuan I
TUKANG BECAK <OSNER>;NABAHO URUK;Pangururan;Rianiate
SAULINA RESORT;JALAN AEK RANGAT;Pangururan;Siogung - Ogung
INDUSTRI BATU BATA (BENNY);NAINGGOLAN;Nainggolan;Nainggolan
CV BEENVENIOOS AMIGOS;JL.DR HADRIANUS SINAGA;Pangururan;Pintusona
SD NEGERI 6 ONAN RUNGGU;JL PELABUHAN ONAN RUNGGU;Onan Runggu;Onanrunggu
WARUNG KELONTONG MIRANDA;JL DI PANJAITAN;Pangururan;Pardomuan I
SD NEGERI 5 PAMUTARAN;PAMUTARAN;Palipi;Pamutaran
SD NEGERI 13 PALLOMBUAN;KOMPLEK SD NEGERI 13 PALLOMBUAN;Palipi;Pallombuan
UD MARULITUA;JL DIPAN JAITAN;Pangururan;Pardomuan I
RUMAH MAKAN SITANGGANG;JALAN TANAH LAPANG;Pangururan;Pasar Pangururan
BALAI PENGOBATAN SWASTA PARLINDUNGAN;JL HORAS TOMOK PARSAORAN;Simanindo;Dosroha
PANGLONG <TORANG>;JL HORAS TOMOK PARSAORAN;Simanindo;Garoga
TUKANG JAHIT <SINURAT>;PASAR NAINGGOLAN;Nainggolan;Nainggolan
TOKO OBAT (DAUD/MARTA);NAINGGOLAN;Nainggolan;Nainggolan
UKM KARYA TERAMPIL;KOMPLEK RS HKBP;Nainggolan;Siruma Hombar
TOKO MADUMA <KASTORO>;NAINGGOLAN;Nainggolan;Nainggolan
POLINDES;HUTAGINJANG;Sianjur Mulamula;Huta Ginjang
MARS, UD (PUPUK DAN INSEKTISIDA);SIAUGA;Nainggolan;Nainggolan
TOKO EMAS RASOKI SIREGAR;PASAR NAINGGOLAN;Nainggolan;Nainggolan
PARTAKKE CV;SITANGGANG BAU DSN I;Pangururan;Parsaoran I
CV ABC MARS;JLN FL TOBING;Pangururan;Pardomuan I
SMP BUDI MULIA;JL USKUP AGUNG SUGIO PRANOTO;Pangururan;Pardomuan I
JOHAN MAS PUPUK;JALAN USKUP AGUNG SUGIOPRANOTO;Pangururan;Pardomuan I
IVANA MOTOR,UD;JL DR HADRIANUS SINAG A;Pangururan;Pardomuan I
POLINDES;BANJAR DOLOK;Sitio-tio;Janji Maria
RIS ULI SITINJAK, CV;SITINJAK;Onan Runggu;Sitinjak
JUDITA COTTAGE;JLN LINGKAR TUKTUK LUMBAN MANURUNG;Simanindo;Tuk-Tuk Siadong
AGEN GAS LPG KECIL <RIAOLO>;JALAN SIMANINDO DUSUN 3;Pangururan;Parsaoran I
PERSEWAAN BANANA BOAT <HENRI>;JL LINGKAR TUKTUK;Simanindo;Tuk-Tuk Siadong
