Nama Usaha;Alamat;Kdkec;Kddesa
PENGGALIAN PASIR <MARTOGI>;PANDIANGAN;Nainggolan;Sinaga Uruk Pandiangan
PENGGALIAN PASIR <TINORMA>;SIBABIAT;Ronggur Nihuta;Sabungan Ni Huta
PENGGALIAN PASIR<ROBINSON>;LUMBAN SIMBOLON;Ronggur Nihuta;Sabungan Ni Huta
PENGGALIAN PASIR<PARDOMUUAN>;SIBABIAT;Ronggur Nihuta;Sabungan Ni Huta
PENGGALIAN PASIR<RUSMMULI>;SABUNGAN NIHUTA;Ronggur Nihuta;Sabungan Ni Huta
PENGGALIAN PASIR <SADIMAN>;SIMANAMPANG;Ronggur Nihuta;Sabungan Ni Huta
PENGGALIAN PASIR<YOSAFAT>;SABUNGAN NIHUTA;Ronggur Nihuta;Sabungan Ni Huta
PENGGALIAN PASIR <MANGINAR>;LUMBAN SIMBOLON;Ronggur Nihuta;Sabungan Ni Huta
PENGGALIAN PASIR <LENI>;LUMBAN SIMBOLON;Ronggur Nihuta;Sabungan Ni Huta
USAHA PENGGALIAN PASIR <AGNES>;PARHAPURAN;Pangururan;Pardomuan I
PENGUMPUL BATU PADAS <SARIMPOL>;JALAN TELE PINDA;Pangururan;Siogung - Ogung
KILANG PADI <HOTMARIA>;AEK SIPITUDAI;Sianjur Mulamula;Aek Sipitudai
PEMBUAT PETI MATI <ANTON>;DES A GINOLAT;Sianjur Mulamula;Ginolat
KILANG PADI<KELOMPOK>;LBN BOHONG DUSUN 1;Harian;Siparmahan
KILANG PADI <TORMAULI>;HUTA PARSAKTIAN;Sitio-tio;Cinta Maju
TUKANG JAHIT <RITA>;PASIR BUNTU MAULI;Sitio-tio;Buntu Mauli
TUKANG PERAHU <OLOAN>;RAPUSAN;Sitio-tio;Janji Raja
KILANG PADI BERJALAN;SIARSAM DESA HARIAN;Onan Runggu;Harian
PENDERES TUAK <GILBERT>;GILBERT;Onan Runggu;Sitinjak
PENJUAL GORENGAN <DIANA>;JL ONAN RUNGGU;Onan Runggu;Onanrunggu
TUKANG LAS <SADARMA>;ONAN RUNGGU;Onan Runggu;Onanrunggu
PENDERES TUAK <RAMLAN>;GORAT;Onan Runggu;Onanrunggu
KILANG PADI <MARSELLUS>;SANGKAR NIHUTA;Onan Runggu;Onanrunggu
PENDERES TUAK <SARI>;SIBORONG BORONG;Onan Runggu;Onanrunggu
PENDERES TUAK <MANGARATUA>;GORAT;Onan Runggu;Onanrunggu
KILANG PADI <LAGUBOTI>;SITAHUAN;Onan Runggu;Rinabolak
TUKANG JAHIT <LASTIAR>;PASAR NAINGGOLAN;Nainggolan;Nainggolan
PANDE BESI <TAMBUNAN>;PASAR NAINGGOLAN;Nainggolan;Siruma Hombar
KILANG PADI SINUR;AEK NATONANG;Nainggolan;Toguan Galung
TENUN ULOS <SIBOLANG>;SINAGA URUK URAT 2;Palipi;Urat II
TENUN ULOS <LAMHOT>;LUMBAN SIHOMBING DUSUN 3;Palipi;Hatoguan
INDUSTRI PENGOLAHAN BATU BATA <MASMAN>;LUMBAN BUNTU DUSUN 2;Palipi;Saornauli Hatoguan
TUKANG LAS<BEBAS>;SIMPANG TAMBA;Palipi;Simbolon Purba
KILANG PADI <RICCAT>;IPANTIL DUS UN 2;Palipi;Simbolon Purba
INDUSTRI BATU BATA 1;SIAEK MUAL;Palipi;Huta Ginjang
BATU BATA <TIURMA>;SIULAK HOSA DUSUN I;Palipi;Sigaol Marbun
BATU BATA <PULO>;PAHODA;Palipi;Sigaol Marbun
BATU BATA <JOSMAN>;SIMARHALIANG DUSUN I;Palipi;Sigaol Marbun
BATU BATA <USTAN>;PAHODA DUSUN 1;Palipi;Sigaol Marbun
BATU BATA <APRISKO>;KAMENTE DUSUN 1;Palipi;Sigaol Marbun
BATU BATA <PRIKDES>;SOSOR SILANGIT DUSUN 1;Palipi;Sigaol Marbun
BATU BATA <KENAIR>;KAMENTE;Palipi;Sigaol Marbun
TUKANG FOTO SITUMORANG <Ambang situmorang>;JL PELABUHAN MOGANG;Palipi;Pallombuan
PENJAHIT (SABAR);PEKAN MOGANG;Palipi;Pallombuan
KILANG PADI<SAUT>;PEA LINGGA;Ronggur Nihuta;Paraduan
TUKANG JAHIT <LESTON>;JL.KANTOR CAMAT;Ronggur Nihuta;Ronggur Ni Huta
PEMBUAT PETI MATI <TAMMAT>;SIPULOPULO;Ronggur Nihuta;Sabungan Ni Huta
INDUSTRI BATU BATA <HOTLEN>;SIPULOPULO;Ronggur Nihuta;Sabungan Ni Huta
PENGANYAM TIKAR <VERO>;NABAHO URUK;Pangururan;Rianiate
PAVING BLOK <NAKEL>;PARORING;Pangururan;Rianiate
PENGANYAM TIKAR<BERTA>;MALAU TORUAN;Pangururan;Rianiate
PENGANYAM TIKAR <SONTA>;NADEAKTORUAN;Pangururan;Rianiate
PENGANYAM TIKAR<TIURMA>;SIMARO;Pangururan;Rianiate
PENGANYAM TIKAR <ROSMA>;SITANGGANG TORUAN;Pangururan;Rianiate
PENYADAP TUAK<ROMMEL>;PASSUR PARMONANGAN;Pangururan;Parmonangan
BENGKEL LAS  <JAN ERWIN>;PASSUR PARMONANGAN;Pangururan;Parmonangan
TUKANG SOL SEPATU <MARIHOT>;JALAN RAYA RIANIATE;Pangururan;Huta Namora
BATU BATA <SUNARDI>;JALAN SIAMBALO PARADUAN;Pangururan;Huta Namora
BATU BATA <TAGOR>;JALAN SIAMBALO PARADUAN;Pangururan;Huta Namora
PENJUAL BUMBU <JALINTON>;JALAN RAYA RIANIATE;Pangururan;Huta Namora
BATU BATA <LUNGKI>;JALAN SIAMBALO PARADUAN;Pangururan;Huta Namora
BATU BATA <BAKTIAR>;JALAN SIAMBALO PARADUAN;Pangururan;Huta Namora
PENJAHIT PAKAIAN <MOSTER>;JALAN RAYA RIANIATE;Pangururan;Huta Namora
RIZKY ART PRODUCTION;JL RAYA RIANIATE;Pangururan;Huta Namora
BENGKEL LAS;JL RAYA RIANIATE;Pangururan;Huta Namora
BATU BATA <ROSPITA>;BATU PURUN;Pangururan;Huta Namora
INDUSTRI BATU BATA <HOTDI>;BATU PURUN;Pangururan;Huta Namora
BATU BATA <KORES>;JL BATU PURUN;Pangururan;Huta Namora
SONA ART;JL.DR HADRIANUS SINAGA;Pangururan;Pintusona
PENGANYAM TIKAR;LUMBAN URUK;Pangururan;Pintusona
SABLON DAN PERCETAKAN;NAGATIMBUL;Pangururan;Pintusona
TUKANG JAHIT SAKTI;LUMBAN TINGGIR;Pangururan;Pintusona
PENGANYAM TIKAR PANDAN;SOSOR HOLANG-HOLANG;Pangururan;Pintusona
PENGUPAS KEMIRI <BERTA>;LUMBAN SILALAHI;Pangururan;Pintusona
MENJUAL GORENGAN<MELKY>;LUMBAN URUK;Pangururan;Pardomuan I
TUKANG JAHIT <MANIK>;JL FL TOBING;Pangururan;Pardomuan I
PENYADAP AREN<SIKKAT>;SIMANDEGE;Pangururan;Pardomuan I
INDUSTRI BATU BATA <SINURAT>;DESA HUTA TINGGI KEC PANGURURAN;Pangururan;Pardomuan I
USAHA AIR MINUM <BISTOK>;JLN FL TOBING;Pangururan;Pardomuan I
TUKANG JAHIT <SINAGA>;JL PUTRI LOPIAN;Pangururan;Pardomuan I
FLORA FLORIST <LETGIONO>;JL PUTRI LOPIAN;Pangururan;Pardomuan I
USAHA KUE DONAT IBU DORLAN;IL USKUP AGUNG MEDAN;Pangururan;Pardomuan I
HENDRA STIKER;JL USKUP AGUNG SUGIO PRANOTO;Pangururan;Pardomuan I
PERDANA ETALASE;TAHUAN;Pangururan;Pardomuan I
PENJAHIT UNI;JL PUTRI LOPIAN;Pangururan;Pardomuan I
MARS, UD;JL NAHUM SITUMORANG NO 98 PEKAN INPRES;Pangururan;Pardomuan I
JOUVITO TAYLOR;JL KOL LIBERTY MALAU;Pangururan;Pardomuan I
SAIDA TAYLOR;KIOS NO 34 PEKAN INPRES;Pangururan;Pardomuan I
DINAMO WAYAR SITUMORANG;JL NAHUM SITUMORANG;Pangururan;Pardomuan I
JAKDIS TAYLOR;JL PELABUHAN;Pangururan;Pardomuan I
PENJAHITAN PAKAIAN <ELVI>;TERMINAL PANGURURAN;Pangururan;Pardomuan I
PENJUAL BUMBU GILING <JUSTINA>;JL SIANJUR MULAMULA;Pangururan;Pasar Pangururan
BRICK FLORIST;SIAHAAN BALIAN;Pangururan;Pasar Pangururan
PEMBUAT OPAK UBI <TERMINA>;SI MANAMPANG TANAH LAPANG;Pangururan;Pasar Pangururan
FORTUNA GALERI;SIAHAAN BALIAN;Pangururan;Pasar Pangururan
TENUNAN ULOS <DENGSI>;SIAHAAN BALIAN;Pangururan;Pasar Pangururan
OSBIN TAYLOR;SIAHAAN BALIAN;Pangururan;Pasar Pangururan
SUSU KEDELE MERLIN>;SIAHAAN BALIAN;Pangururan;Pasar Pangururan
TUKANG PATRI<NADEAK>;DUSUN 2TANJUNG BUNGA;Pangururan;Tanjung Bunga
USAHA BUNDA PAPAN <RINTO>;HARIARA TOLU;Pangururan;Parsaoran I
DEKORASI PESTA <PAHALA>;JL PUSUK BUHIT DUSUN 3;Pangururan;Parsaoran I
TUKANG JAHIT<MAYA>;JALAN SIMANINDO NO 98;Pangururan;Parsaoran I
BERTENUN<TIOLO>;LUMBAN NAINGGOLAN DUSUN 2;Pangururan;Parsaoran I
CETAK STEMPEL  <LAM>;SAIT NIHUTA;Pangururan;Sait Ni Huta
JUAL GORENGAN <ESLI>;JALAN SIMANINDO SAIT NIHUTA;Pangururan;Sait Ni Huta
DISTRO BOS <DENMENRA>;SAIT NIHUTA;Pangururan;Sait Ni Huta
BERTENUN ULOS <NUR>;LUMBAN PINGGOL;Pangururan;Lumban Pinggol
PENYADAP AREN <DAHLAN>;LUMBAN PINGGOL;Pangururan;Lumban Pinggol
PENYADAP AREN <JUDIMAN>;LUMBAN PINGDOL;Pangururan;Lumban Pinggol
TENUN ULOS <RAULINA>;PAMODILAN;Pangururan;Sianting - Anting
TENUN ULOS <REHULINA>;SILUNDAK;Pangururan;Sianting - Anting
PENGRAJIN TAMPI <JUANA>;AEK RIHIT;Pangururan;Aek Nauli
PENGRAJIN TAMPI IMARULAKS;PEA TIKKO;Pangururan;Aek Nauli
TENUN ULOS <RILLIN>;BUNTU PANGALOAN;Pangururan;Pardugul
TENUN ULOS <DEWI>;LUMBAN SINURAT;Pangururan;Pardugul
USAHA TENUN ULOS <HENTI>;BUNTU PANGALOAN;Pangururan;Pardugul
TENUN ULOS <MAGDA>;LUMBAN SINURAT;Pangururan;Pardugul
TENUN ULOS <RELITA>;BUNTU PANGALOAN;Pangururan;Pardugul
TENUN <PITARIA>;LUMBAN MALAU;Pangururan;Panampangan
PENYADAP AREN;PARSOPOAN;Pangururan;Panampangan
TENUN <PORMAULI>;PARSOPOAN;Pangururan;Panampangan
TENUN <ROHANI>;LUMBAN PINASO;Pangururan;Panampangan
TENUN ULOS <ROSMAULI>;LBN TONGA TONGA DUSUN 2;Pangururan;Sitolu Huta
TENUN ULOS <NURSAIDE>;LBN TONGA TONGA DUSUN 2;Pangururan;Sitolu Huta
TENUN ULOS <BUNGASIH>;LBN NADEAK DUSUN 2;Pangururan;Sitolu Huta
TENUN ULOS <DORLA>;LBN DAGAL DUSUN 2;Pangururan;Sitolu Huta
TENUN ULOS <DIANA S>;AEK BOLON DUSUN 2;Pangururan;Sitolu Huta
TENUN ULOS <NURHAYATI S>;SIGIL LOMBU 2;Pangururan;Sitolu Huta
TENUN ULOS<ANITA>;SIMARAEK;Pangururan;Siopat Sosor
PENJUALAN TEMPE <IRMA>;LUMBAN GANDA;Pangururan;Siopat Sosor
INDUSTRI MABLE<LAMBOK>;SAIT NIHUTA;Pangururan;Siopat Sosor
GABY FLORIST;BONA BONA DUSUN 2;Pangururan;Siopat Sosor
BERTENUN ULOS <SAHALA>;SAIT NIHUTA;Pangururan;Huta Bolon
TUKANG JAHIT <ELVI>;DUSUN 2 LUMBAN PASIR;Pangururan;Sialanguan
TENUN ULOS <ASLI>;LUMBAN SIMBOLON;Pangururan;Parhorasan
TENUN ULOS<MARNI>;LUMBAN GAOL;Pangururan;Parhorasan
TENUN ULOS <NURTA>;L BN SINURAT;Pangururan;Parhorasan
PENGGERGAJI KAYU <BUE>;SUKARAME;Pangururan;Parhorasan
TENUN ULOS <REMINTA>;LUMBAN SIMBOLON;Pangururan;Parhorasan
TENUN ULOS<LISTA S>;LBN LAIT LAIT DUSUN2;Pangururan;Lumban Suhi Suhi Dolok
TENUN ULOS<RUMIN S>;LBN BUNTU DUSUN 2;Pangururan;Lumban Suhi Suhi Dolok
TENUN ULOS<MELINDA S>;BATU BOLON DUSUN 2;Pangururan;Lumban Suhi Suhi Dolok
TENUN ULOS<RIOLO T>;LBN SINABARIBA;Pangururan;Lumban Suhi Suhi Dolok
TENUN ULOS<PERONIKA S>;TALUN NABOLAK <DUSUN 2>;Pangururan;Lumban Suhi Suhi Dolok
TENUN ULOS <DEMI>;LUMBAN MANIK TORUAN;Pangururan;Lumban Suhi Suhi Toruan
TENUN ULOS<TIANUR>;ALNGIT LUMBAN SOSOR;Pangururan;Lumban Suhi Suhi Toruan
TENUN ULOS <TIODOR>;DUSUN 2 LUMBAN SILALAHI;Pangururan;Lumban Suhi Suhi Toruan
TENUN ULOS <LASMAULI>;HUTARAJA DUSUN 2;Pangururan;Lumban Suhi Suhi Toruan
TENUN ULOS <RIAMINTA>;DUSUN 2 LUMBAN SINABANG;Pangururan;Lumban Suhi Suhi Toruan
ATBM KASUKSAK <DEWI>;DUSUN 2 LUMBAN TONGATONGA;Pangururan;Lumban Suhi Suhi Toruan
TENUN ULOS <ROHANI>;HUTARAJA DUSUN 2 PARDOMUAN;Pangururan;Lumban Suhi Suhi Toruan
TENUN ULOS <TAPMARIA>;DUSUN 2 LUMBAN PASIR;Pangururan;Lumban Suhi Suhi Toruan
TENUN ULOS <RIANTI>;DUSUN 1 SITORANGNABOLON;Pangururan;Lumban Suhi Suhi Toruan
TENUN ULOS <ODOR>;DUSUN 1 LUMBAN NAINGG OLAN;Pangururan;Lumban Suhi Suhi Toruan
TENUN ULOS < MEDIAN >;DUSUN 1 LUMBAN NAINGGOLAN;Pangururan;Lumban Suhi Suhi Toruan
TENUN ULOS <RIAMA>;DUSUN 1 LUMBANHARIARA;Pangururan;Lumban Suhi Suhi Toruan
TENUN ULOS <ANNA>;DUSUN 3 HUTADOLOK;Pangururan;Parbaba Dolok
USAHA UKIR <MARIANUS>;SIGARANTUNG;Simanindo;Martoba
JUAL UMPAN <SARMOLINA>;KOMPLEK PELABUHAN LOPO;Simanindo;Tomok
PENJAHIT <RUSPITA>;JL SITOBU;Simanindo;Tuk-Tuk Siadong
PENGRAJIN SOUVENIR <TONI>;DESA GAROGA;Simanindo;Simanindo
BENGKEL FURNITURE <RUDY>;JL SITOBU;Simanindo;Martoba
LOUIS WATER;JL LINGKAR TUKTUK LUMBAN MANURUNG;Simanindo;Simanindo Sangkal
ROMA ART SHOP;JL LINGKAR TUKTUK LUMBAN MANURUNG;Simanindo;Tomok
NDK TAILOR;JLN GREJA TUKTUK SI ADONG;Simanindo;Cinta Dame
ANNE MIKE ART SHOP;JL LINGKAR TUK TUK;Simanindo;Tuk-Tuk Siadong
MELIDA FLORIST;JL RAYA AMBARITA;Simanindo;Tuk-Tuk Siadong
USAHA PERCETAKAN <AUGUS>;AMBARITA;Simanindo;Tuk-Tuk Siadong
USAHA PAPAN BUNGA <AUGUS>;AMBARITA;Simanindo;Simanindo
TUKANG LAS <OMSER>;TOLPING;Simanindo;Garoga
USAHA MENJAHIT <LASTI>;SIPINGGAN;Simanindo;Martoba
USAHA TENUN <KOSTARIA>;SIGUGUR TONGA TONGA;Simanindo;Hutaginjang
USAHA BENGKEL LAS <PARIS>;JL.TOMOK PARSAORAN;Simanindo;Ambarita
USAHA PAPAN BUNGA <GULTOM>;JL HORAS TOMOK PARSAORAN;Simanindo;Tomok Parsaoran
PENGRAJIN KAYU <TOGA>;SOUVENIRSHOP KAWASAN WISATA BATU KURSI;Simanindo;Tomok
BONGGAS SOUVENIR SHOP;SOUVENIR SHOP KAWASAN WISATA BATU KURSI;Simanindo;Hutaginjang
PENGRAJIN KAYU <HENDRA>;HUTA PARHAPURAN;Simanindo;Ambarita
USAHA PAPAN BUNGA < ROMA >;DESA SIMANINDO;Simanindo;Tomok Parsaoran
USAHA PAPAN BUNGA <IAN >;DESA SIMANINDO;Simanindo;Siallagan Pindaraya
PENGANYAM TIKAR <ROLIA>;LUMBAN SILALAHI;Pangururan;Pintusona
USAHA KERIPIK <RISTAULI>;SOSOR SIAHAAN;Pangururan;Pardomuan I
MENJUAL GORENGAN K5 <SURYANI>;PARHAPURAN;Pangururan;Pardomuan I
USAHA KUE AUREL;SOSOR;Pangururan;Pardomuan I
MC BAKERY;JL KOLONEL LIBERTY MALAU;Pangururan;Pardomuan I
DENNY TAYLOR;JL KOLONEL LIBERTY MALAU;Pangururan;Pardomuan I
PENJUAL KUE <ANITA>;JALAN TELE SIMANGONDING;Pangururan;Siogung - Ogung
TENUN ULOS <RISMA SITOHANG>;DUSUN 2 LUMBAN SITOHANG;Pangururan;Lumban Suhi Suhi Toruan
TENUN ULOS <KATARINA>;DUSUN 2 LUMBANHARIARA;Pangururan;Lumban Suhi Suhi Toruan
TENUN ULOS < ERISDA >;DUSUN 1 BINANGBORTA;Pangururan;Lumban Suhi Suhi Toruan
KILANG PADI BERJALAN <SINAGA>;JL RAYA AMBARITA;Simanindo;Siallagan Pindaraya
OGY PUTRA PENJAHIT;HASAHATAN;Simanindo;Tomok
TENUN ULOS <KISDA >;DESA SARIMARRIHIT;Sianjur Mulamula;Sarimarrihit
LOKET PEMBAYARAN REKENING LISTRIK <HENRI>;JL PELABUHAN ONAN RUNGGU;Onan Runggu;Onanrunggu
LOKET PEMBAYARAN LISTRIK <LASIMA>;ONAN RUNGGU;Onan Runggu;Onanrunggu
LOKET PEMBAYARAN REKENING LISTRIK ESTER;LUMBAN GAOL;Palipi;Parsaoran Urat
AGEN PEMBAYARAN LISTRIK METERAN;JLN FL TOBING;Pangururan;Pardomuan I
LOKET PEMBAYARAN PLN;JL D I PANJAITAN;Pangururan;Pardomuan I
MARCOPOLO ADVERTISING;TANAH LAPANG;Pangururan;Pasar Pangururan
TRANSPORTASI AIR <RANBO>;RINITE;Pangururan;Rianiate
PENYEDIA AIR BERSIH <SALMON>;DES A SIMANINDO;Simanindo;Siallagan Pindaraya
PEMBORONG <PASTI>;AEK SIPITUDAI DUSUN 1;Sianjur Mulamula;Aek Sipitudai
PEMBORONG<PURIDIN>;AEK SIPITUDAI DUSUN 1;Sianjur Mulamula;Aek Sipitudai
BENGKEL LAS <PANDU>;SOSOR PASIR;Sitio-tio;Sabulan
KONSTRUKSI PERORANGAN <HETBIN>;HUTA HOTANG;Onan Runggu;Huta Hotang
INSTALASI LISTRIK <PARNINGOTAN>;SITOHANG DUSUN I;Palipi;Parsaoran Urat
JASA INSTALASI LISTRIK <SAMSON>;JL PULO SAMOSIR;Pangururan;Pasar Pangururan
INSTALASI LISTRIK;JL DANAU TOBA;Pangururan;Pasar Pangururan
PEMASANGAN INSTALASI LISTRIK;SITANGGANG BAU DSN 1;Pangururan;Parsaoran I
TUKANG <PUNGUAN>;LUMBAN BARINGIN;Pangururan;Sianting - Anting
TUKANG BANGUNAN <MARKUS>;SIBATU DUSUN I;Pangururan;Parbaba Dolok
PEMBORONG BANGUNAN <GANDA>;JLN LINGKAR TUKTUK SIADONG;Simanindo;Dosroha
PEMBORONG BANGUNAN <JUNI>;SOSOR MAMUNGKA;Simanindo;Siallagan Pindaraya
JASA INSTALASI LISTRIK <RICARDO>;JL TOMOK PARSAORAN;Simanindo;Simanindo
PEDAGANG PISANG <DOSLEN>;JL. DR HADRIANUS SINAGA;Pangururan;Pintusona
PEDAGANG PENGEPUL HASIL TANI <ROMANTO>;RAUT BOSI;Simanindo;Simanindo
JUAL BENSIN <JERMAN>;AEK SIPITUDAI DUSUN 1;Sianjur Mulamula;Aek Sipitudai
JUAL IKAN ASIN <RUSMA>;AEK SIPITUDAI DUSUN 1;Sianjur Mulamula;Aek Sipitudai
JUAL SEMBAKO <ROIHANTOR>;AEK SIPITUDAI;Sianjur Mulamula;Aek Sipitudai
JUAL GAS ELPIJI <DARWIN>;DESA SARIMARRIHIT;Sianjur Mulamula;Sarimarrihit
BENGKEL MOTOR <JAMSER>;DESA SARIMARIHIT;Sianjur Mulamula;Sarimarrihit
PENGUMPUL DAN MENJUAL BERAS <ANITA NAINGGOLAN>;DESA SARIMARRIHIT;Sianjur Mulamula;Sarimarrihit
WARUNG KELONTONG <SASTRA>;DESA SARIMARRIHIT;Sianjur Mulamula;Sarimarrihit
PENGUMPUL BERAS <SARLINA>;DESA SARIMARRIHIT;Sianjur Mulamula;Sarimarrihit
PENGUMPUL KOPI <LINDA>;HUTA GINJANG;Sianjur Mulamula;Huta Ginjang
KELONTONG<LESNI>;PANJAITAN;Sianjur Mulamula;Siboro
PENGUMPUL BERAS<LENNI>;SIBORO PANJAITAN;Sianjur Mulamula;Siboro
JUAL KAIN SOVENIR <DARNA>;MENARA PANDANG TELE DUSUN 2;Harian;Partungko Naginjang
WARUNG <RENTI>;PAGAR BOLAK;Harian;Dolok Raja
PEDAGANG PENGUMPUL <PARIDA>;LUMBAN TONGA TONGA;Harian;Hariara Pohan
USAHA PERABOTAN RUMAH TANGGA <HOTJON>;HUTA SIMARMATA;Harian;Hariara Pohan
WARUNG MAKANAN <TIARMA>;LUMBAN RAJA;Harian;Turpuk Limbong
TOKE KOPI <SAUDIN>;BAHAL;Sitio-tio;Buntu Mauli
BENGKEL <ADARMAN>;LUMBAN PANDE;Sitio-tio;Sabulan
WARUNG JAJANAN <JENTINA>;AMBULASANGGE;Onan Runggu;Harian
JUAL BENSIN ECERAN <JUPPA>;HARIAN;Onan Runggu;Harian
BENGKEL <PARULIAN>;SITINJAK;Onan Runggu;Sitinjak
BENGKEL MOTOR <PARDO>;ONAN RUNGGU;Onan Runggu;Onanrunggu
PEDAGANG BAJU <RAMLIANA>;PASAR ONAN RUNGGU;Onan Runggu;Onanrunggu
PEDAGANG MIE <TUTI>;LOS PASAR ONAN RUNGGU;Onan Runggu;Onanrunggu
PEDAGANG SAYUR <TIO>;JL PELABUHAN ONAN RUNGGU;Onan Runggu;Onanrunggu
WARUNG KELONTONG <ROMA>;SIMPANG EMPAT ONAN RUNGGU;Onan Runggu;Onanrunggu
WARUNG SEMBAKO <NURDIN>;SIMOTUNG DUSUN I;Onan Runggu;Sipira
WARUNG SEMBAKO <ALBON>;JUNGJUNGAN;Onan Runggu;Sipira
jual JAJANAN KERUPUK <RUSTI>;SIBAGANDING;Nainggolan;Sibonor Ompu Ratus
JUAL JAHE <TIMORLAN>;LUMBAN MARBUN;Nainggolan;Sibonor Ompu Ratus
BENGKEL SEPEDA MOTOR <NOFRI>;NASUMANDAR;Nainggolan;Sinaga Uruk Pandiangan
PERDAGANGAN ECERAN SEMBAKO <DARWIN>;PASAR NAINGGOLAN;Nainggolan;Nainggolan
PEDAGANG ECERAN <SILAEN>;LOS PASAR;Nainggolan;Nainggolan
MENJUAL SEPATU DAN SANDAL <DELIANA>;LOS PASAR NAINGGOLAN;Nainggolan;Nainggolan
JUAL PAKAIAN JADI <RAIDIN>;LOS PASAR;Nainggolan;Nainggolan
PEDAGANG IKAN ASIN <NURSALITA>;PASAR NAINGGOLAN;Nainggolan;Nainggolan
JUAL ULOS <MUTIARA>;LOS PASAR;Nainggolan;Nainggolan
MENJUAL ATK <HENDRA>;PASAR NAINGGOLAN;Nainggolan;Nainggolan
PENGUMPUL HASIL PERTANIAN <HEWIN>;SIRUMAHOMBAR;Nainggolan;Siruma Hombar
PENGUMPUL HASIL TANI <SOLO>;SIRUMAHOMBAR;Nainggolan;Siruma Hombar
PENGUMPUL HASIL TANI <JAPIN>;SIRUMAHOMBAR;Nainggolan;Siruma Hombar
TAMBAL BAN <BINDUARA LUMBANRAJA>;LUMBAN BARAGAS;Nainggolan;Pangaloan
PEDAGANG SAYURAN KAKI LIMA <Delima purba>;LUMBAN GAOL DUSUN 2;Palipi;Parsaoran Urat
PENJUAL KERUPUK <HOT>;SINAGA URUK URAT 2;Palipi;Urat II
PEDAGANG TERNAK KERBAU EL MADAM;SINAGA URUK;Palipi;Urat II
toko rempah <OP DEBORA>;URUK URAT 2;Palipi;Urat II
MINYAK BENSIN ECERAN <ROSPITA>;SINAGA URUK URAT 2;Palipi;Urat II
KELONTONG <RAINIM>;LUMBAN SIHOMBING DUSUN 3;Palipi;Hatoguan
ECERAN KERUPUK <HAMONANGAN>;SIMPANG TAMBA;Palipi;Simbolon Purba
BENGKEL MOTOR<DANIEL>;SIAEK MUAK;Palipi;Simbolon Purba
TOKO OBAT<MARGANDA>;BARIBA BINAGA;Palipi;Simbolon Purba
KELONTONG <JUSTAMA>;DUGUL SIGAOL SIMBOLON DUSUN I;Palipi;Sigaol Simbolon
SPAREPART SEPEPA MOTOR <TOHOM>;JL. LINTAS SAMOSIR DUSUN 2;Palipi;Sigaol Simbolon
BENGKEL MOTOR<DIRGAN>;JL. LINTAS SAMOSIR DUSUN 2;Palipi;Sigaol Simbolon
PEDAGANG TUAK <BANTU>;KOBUN MANIK;Palipi;Pamutaran
WARUNG MAKANAN RINGAN <ERINA>;SIHUNIK;Palipi;Pamutaran
PENJUAL PAKAIAN MANULLANG <OLwin simanullang>;PEKAN MOGANG;Palipi;Pallombuan
KIOS PUPUK DAN PESTISIDA LAMBAS <DARNA BR SITUMORANG>;TERMINAL MOGANG;Palipi;Pallombuan
JUALAN KELONTONG;PEKAN MOGANG;Palipi;Pallombuan
JUAL PAKAIAN HERNITA;PEKAN MOGANG;Palipi;Pallombuan
JUAL BURJER BORU MARPAUNG;PEKAN MOGANG;Palipi;Pallombuan
TOKO MAS (RAMLI);JL PELABUHAN MOGANG;Palipi;Pallombuan
PEDAGANG PENGUMPUL HASIL PERTANIAN<SAUT>;PEA LINGGA;Ronggur Nihuta;Paraduan
AGEN KOPI <SARIAMAN>;AEK LIANG;Ronggur Nihuta;Paraduan
AGEN BIJI KOPI <PUNGUANA>;KOMPLEK SMP RONGGURNIHUTA;Ronggur Nihuta;Ronggur Ni Huta
WARUNG JAJANAN ANAK ANAK <RESMI>;SIRIMBANG;Ronggur Nihuta;Ronggur Ni Huta
WARUNG KERUPUK <MASLAN>;CENTRAL;Ronggur Nihuta;Ronggur Ni Huta
PENGECER IKAN<POLLO>;SITANGGANG TORUAN;Pangururan;Rianiate
PENGECER KOPI <LUHUT>;BUTAR RIANIATE;Pangururan;Rianiate
MENJUAL ULOS<LUNDA>;MALAU TONGA TONGA;Pangururan;Rianiate
TAMBAL BAN<WALMAN>;PARORING;Pangururan;Rianiate
WARUNG KERUPUK<NENNI>;PINTU BATU;Pangururan;Rianiate
PEDAGANG SAYUR <JAHOTLER>;HUTA NAMORA;Pangururan;Huta Namora
KIOS SEMBAKO <SAMARIA>;JALAN SIAMBALO PARADUAN;Pangururan;Huta Namora
BENGKEL NAIBAHO;JALAN DR HADRIANUS SINAGA;Pangururan;Pintusona
DAGANG KERBAU <JUANDA>;SOSOR SIMBOLON;Pangururan;Pintusona
KEDAI RABOL SIMBOLON;KOMPLEKS SMA NEGERI 1 PANGURURAN;Pangururan;Pintusona
USAHA MENJUAL BABI CELENG (DIRMANTO);SIAEK MUAL;Pangururan;Pintusona
MENJUAL SAYUR-SAYURAN <SINAGA>;LBN URUK;Pangururan;Pintusona
DOORSMER DAN TEMPEL BAN;HOLANG-HOLANG;Pangururan;Pintusona
DAGANG JAGUNG <HERMIN>;LUMBAN SILALAHI;Pangururan;Pintusona
